timestamp_utc,mode,scenario,run_index,status,robot_count,makespan,sum_of_costs,planning_time_sec,execution_time_sec,success_rate,completed_tasks,failed_tasks,blocked_tasks,requeue_count,conflicts_resolved,high_level_nodes,notes
20260313T104327Z,discrete_cbs,crossing_center,1,completed,2,3,5,0.000937,0.0,1.0,2,0,0,0,1,2,success
20260313T104357Z,hybrid,same_goal_blocked,1,completed,2,,,0.0,18.2,0.5,1,1,1,2,,,manual_smoke
20260313T104732Z,hybrid,head_on_horizontal,1,pending,2,,,0.0,0.0,1.0,2,0,0,0,,,protocol_check
20260313T105146Z,nav2_only,single_robot,1,pending,1,,,0.0,0.0,1.0,1,0,0,0,,,manual_run
20260313T111248Z,discrete_cbs,single_robot,1,completed,1,2,2,0.000264,0.0,1.0,1,0,0,0,0,1,success
20260313T111248Z,discrete_cbs,single_robot,2,completed,1,2,2,0.000207,0.0,1.0,1,0,0,0,0,1,success
20260313T111248Z,discrete_cbs,single_robot,3,completed,1,2,2,0.00021,0.0,1.0,1,0,0,0,0,1,success
20260313T112036Z,discrete_cbs,single_robot,1,completed,1,2,3,0.057754,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T112439Z,discrete_cbs,single_robot,1,completed,1,2,3,0.051839,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T112559Z,discrete_cbs,single_robot,1,completed,1,2,3,0.0532,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T112648Z,discrete_cbs,head_on_horizontal,1,completed,2,4,8,0.076604,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260313T112719Z,discrete_cbs,crossing_center,1,completed,2,3,7,0.064175,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260313T165719Z,discrete_cbs,single_robot,1,completed,1,2,3,0.045474,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T165827Z,discrete_cbs,single_robot,1,completed,1,2,3,0.04525,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T165922Z,discrete_cbs,head_on_horizontal,1,completed,2,4,8,0.05057,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260313T165940Z,discrete_cbs,crossing_center,1,completed,2,3,7,0.046978,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260313T172415Z,discrete_cbs,single_robot_spawn,1,completed,1,2,3,0.095823,0.0,1.0,1,0,0,0,,,external_cbs_reference
20260313T172415Z,discrete_cbs,release_center_spawn,1,completed,2,1,4,0.134791,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260313T172416Z,discrete_cbs,crossing_from_spawn,1,completed,2,2,5,0.10852,0.0,1.0,2,0,0,0,,,external_cbs_reference
20260314T105634Z,discrete_cbs,obstacle_ring_eight_agents,1,completed,8,1,16,0.055002,0.0,1.0,8,0,0,0,,,external_cbs_reference
20260314T105649Z,discrete_cbs,complexity_eight_agents,1,completed,8,4,40,15.709505,0.0,1.0,8,0,0,0,,,external_cbs_reference
